trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1475020,27,3,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,2702,shp-27-04,1,1
3082070,23,1,"Plymouth to Green Rd P&R",,1,3407,shp-23-61,1,1
2523020,68,3,"Harris - Ford to Holmes & Ridge",,0,8102,shp-68-51,1,1
2551010,5,2,"B Packard to BTC",,0,10401,shp-5-02,1,1
2463010,5,2,"B Packard to BTC",,0,10301,shp-5-02,1,1
3290020,4,3,"Washtenaw to YTC",,1,5902,shp-4-55,1,1
3190070,22,1,"Pontiac - Dhu Varren to BTC",,0,407,shp-22-01,1,1
3130020,23,3,"Plymouth to Blake Transit Ctr",,0,2202,shp-23-07,1,1
3813010,30,2,"Jackson Rd to BTC",,0,3501,shp-30-51,1,1
813070,44,1,"44 Ecorse Tyler to YTC",,0,9407,shp-44-52,1,1
1048020,44,3,"44 Ecorse Tyler to YTC",,0,7202,shp-44-52,1,1
208010,47,2,"47 Harriet Michigan to Hewistt & Ellsworth",,1,10001,shp-47-02,1,1
2324010,67,2,"EISENHOWER-GOLFSIDE TO TRINITY HEALTH AA",,1,13601,shp-67-05,1,1
1073070,29,1,"Liberty to Blake Transit Ctr",,0,4907,shp-29-01,1,1
3412020,4,3,"Washtenaw to YTC",,1,6102,shp-4-55,1,1
2563070,4,1,"Washtenaw to BTC",,0,5207,shp-4-06,1,1
4284020,25,3,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,2702,shp-25-52,1,1
1710020,62,3,"62 UM State to CCTC",,1,12402,shp-62-06,1,1
1573070,4,1,"Washtenaw to YTC",,1,5207,shp-4-55,1,1
4295020,4,3,"Washtenaw to BTC",,0,5902,shp-4-06,1,1
2780020,5,3,"Packard to Ypsilanti Transit Ctr",,1,10602,shp-5-07,1,1
2244070,3,1," Huron River to YTC",,1,4107,shp-3-53,1,1
3733010,32,2,"Miller - Maple to Blake Transit Ctr",,0,4401,shp-32-06,1,1
309010,26,2,"Scio Church to BTC",,0,10401,shp-26-01,1,1
4080070,66,1,"Carpenter - Huron Pkwy to Pierpont Commons",,1,13507,shp-66-08,1,1
3771010,3,2," Huron River to YTC",,1,8901,shp-3-53,1,1
1704020,32,3,"Miller - Maple to Blake Transit Ctr",,0,602,shp-32-06,1,1
1052070,26,1,"Scio Church to BTC",,0,4907,shp-26-01,1,1
14070,31,1,"Dexter Ave to Blake Transit Ctr",,0,4407,shp-31-04,1,1
678070,42,1,"Forest - MacArthur to MacArthur & Harris",,1,9407,shp-42-03,1,1
2781020,62,3,"U-M - State to Central Campus Transit Ctr",,1,12502,shp-62-08,1,1
538010,28,2,"28 Pauline to BTC",,0,3201,shp-28-10,1,1
2188020,42,3,"Forest - MacArthur to Ypsilanti Transit Ctr",,0,7802,shp-42-52,1,1
147070,5,1,"A Packard to BTC",,0,9907,shp-5-01,1,1
1543020,63,3,"U-M - Pontiac to Central Campus Transit Center",,0,13102,shp-63-05,1,1
2161010,47,2,"47 Harriet Michigan to Hewistt & Ellsworth",,1,10001,shp-47-02,1,1
798020,62,3,"U-M - State St to Wolverine Tower",,0,12502,shp-62-54,1,1
2246020,65,3,"U-M - Downtown - Green to Glacier Hills",,1,12102,shp-65-53,1,1
718020,44,3,"44 Ecorse Tyler to West Willow",,1,7202,shp-44-02,1,1
1960070,30,1,"Jackson Rd to BTC",,0,3507,shp-30-51,1,1
1516070,4,1,"Washtenaw to YTC",,1,5407,shp-4-55,1,1
737070,32,1,"Miller - Maple to Blake Transit Ctr",,0,4607,shp-32-06,1,1
1217020,25,3,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,2702,shp-25-52,1,1
2085020,33,3,"Newport to Blake Transit Ctr",,0,3702,shp-33-01,1,1
114070,6,1,"Ellsworth to Ypsilanti Transit Center",,1,11307,shp-6-51,1,1
724020,43,3,"E Michigan Ave to Ypsilanti Transit Ctr",,0,8002,shp-43-51,1,1
1403020,5,3,"A Packard to BTC",,0,10502,shp-5-01,1,1
1252070,25,1,"Ann Arbor - Saline Rd to Meijer: AA - Saline Rd",,1,3007,shp-25-52,1,1
4000010,27,2,"W. Stadium - Oak Valley to Blake Transit Ctr",,0,3101,shp-27-04,1,1
426070,5,1,"Packard to Ypsilanti Transit Ctr",,1,9707,shp-5-07,1,1
3187070,27,1,"W. Stadium - Oak Valley to Meijer",,1,3107,shp-27-52,1,1
2200070,42,1,"Forest - MacArthur to MacArthur & Harris",,1,9507,shp-42-03,1,1
105070,6,1,"Ellsworth to BTC",,0,11407,shp-6-01,1,1
2697070,31,1,"Dexter Ave to Jackson & Wagnor",,1,4507,shp-31-51,1,1
1483010,44,2,"44 Ecorse Tyler to West Willow",,1,8401,shp-44-02,1,1
1008020,32,3,"Miller - Maple to Blake Transit Ctr",,0,702,shp-32-07,1,1
3046020,43,3,"E Michigan Ave to Ypsilanti Transit Ctr",,0,8102,shp-43-51,1,1
3498010,32,2,"Miller - Maple to Pennsylvania & Maple",,1,4501,shp-32-55,1,1
3495020,5,3,"A Packard to BTC",,0,10902,shp-5-01,1,1
1313020,5,3,"Packard to Ypsilanti Transit Ctr",,1,10902,shp-5-07,1,1
2040020,6,3,"Ellsworth to Ypsilanti Transit Center",,1,11202,shp-6-51,1,1
2802010,25,2,"Ann Arbor - Saline Rd to Blake Transit Ctr",,0,3101,shp-25-09,1,1
1966020,46,3,"Huron Paint Creek to Huron River + Textile",,1,7002,shp-46-02,1,1
