OID_,Id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,loc_type,parent_sta,timezone,wheelchair,count,coord_x,coord_y,dist_ctr
801,0,942,829,Overridge + Sheridan, ,42.260154999999997,-83.708798000000002, , , , , ,2,1,276572.107800000347197,4682213.916999999433756,2893.882103582559466
802,0,943,830,Manchester + Medford, ,42.256793999999999,-83.710977000000000, , , , , ,2,1,276380.481200000271201,4681846.413000000640750,3076.980351432570842
803,0,944,831,Medford + Needham, ,42.257505000000002,-83.714324000000005, , , , , ,1,1,276106.894999999552965,4681934.163599999621511,2861.088902118322494
804,0,945,832,Medford + St  Francis, ,42.259177999999999,-83.716407000000004, , , , , ,2,1,275940.991999999620020,4682125.423800000920892,2613.837006361169642
805,0,946,833,Stadium + St  Francis Dr, ,42.260693000000003,-83.715996000000004, , , , , ,2,1,275980.262400000356138,4682292.576799999922514,2487.102390475904485
806,0,947,834,Tappan School, ,42.261158000000002,-83.720753999999999, , , , , ,2,1,275589.436099999584258,4682356.745300000533462,2253.913309291207042
807,0,948,835,Stadium + Ferdon, ,42.260986000000003,-83.725579999999994, , , , , ,2,1,275190.741600000299513,4682350.379100000485778,2137.726040922766515
808,0,949,836,Stadium + Packard, ,42.260835999999998,-83.730616999999995, , , , , ,1,1,274774.718299999833107,4682347.036699999123812,2088.702316425471054
809,0,950,837,Stadium + Ferndale, ,42.260728000000000,-83.734095999999994, , , , , ,2,1,274487.358699999749660,4682344.254200000315905,2103.254449503873730
810,0,951,838,Stadium + E  Park, ,42.261705999999997,-83.737618999999995, , , , , ,2,1,274200.246600000187755,4682462.196399999782443,2039.289021917887339
811,0,952,839,Stadium + Crisler, ,42.264125999999997,-83.745763999999994, , , , , ,2,1,273537.061499999836087,4682752.565999999642372,2054.876918044301419
812,0,953,840,Stadium + Kipke, ,42.263596999999997,-83.744433000000001, , , , , ,1,1,273644.952999999746680,4682690.282199999317527,2047.683668713070347
813,0,954,841,Stadium + South Industrial, ,42.261111999999997,-83.736676000000003, , , , , ,1,1,274275.911000000312924,4682393.733999999240041,2088.309683442929781
814,0,955,842,Stadium + Woodbury, ,42.260629999999999,-83.734560000000002, , , , , ,2,1,274448.734799999743700,4682334.600999999791384,2117.395406728460330
815,0,956,843,Stadium + Packard, ,42.260762000000000,-83.728342999999995, , , , , ,2,1,274962.031799999997020,4682332.805199999362230,2116.373267187685087
816,0,957,844,Stadium + Ferdon, ,42.260914999999997,-83.723637999999994, , , , , ,2,1,275350.679899999871850,4682337.368000000715256,2191.214704527274989
817,0,958,845,Stadium + Cayuga, ,42.260978000000001,-83.721305000000001, , , , , ,2,1,275543.346699999645352,4682338.209699999541044,2253.710153660407741
818,0,959,846,St. Francis + Stadium, ,42.260241999999998,-83.715895000000003, , , , , ,2,1,275986.996000000275671,4682242.229299999773502,2533.968637535585458
819,0,960,847,Medford + St  Francis, ,42.259155000000000,-83.716506999999993, , , , , ,1,1,275932.661600000225008,4682123.132899999618530,2611.973729191996881
820,0,961,848,Medford + Needham, ,42.257432999999999,-83.714330000000004, , , , , ,1,1,276106.145200000144541,4681926.184100000187755,2867.702820985698509
821,0,962,849,Manchester + Medford, ,42.256723999999998,-83.711191999999997, , , , , ,2,1,276362.497800000011921,4681839.204600000753999,3073.380846705499607
822,0,963,850,Overridge + Kenilworth, ,42.260427000000000,-83.708168000000001, , , , , ,2,1,276625.036299999803305,4682242.468200000002980,2906.497191129541989
823,0,964,851,Overridge + Arlington, ,42.261899000000000,-83.706410000000005, , , , , ,2,1,276775.246600000187755,4682401.316299999132752,2893.477189607543551
824,0,965,852,Arlington + Bedford, ,42.263047999999998,-83.706785999999994, , , , , ,2,1,276748.288700000382960,4682529.894200000911951,2784.876373237226289
825,0,966,853,Arlington + Provincial, ,42.264771000000003,-83.706992000000000, , , , , ,2,1,276737.381000000052154,4682721.766599999740720,2648.981790090489994
826,0,967,854,Arlington + Heather Way, ,42.266494999999999,-83.707070000000002, , , , , ,2,1,276737.035500000230968,4682913.414499999955297,2528.988982669313373
827,0,968,855,Arlington + Aberdeen, ,42.268743999999998,-83.707579999999993, , , , , ,2,1,276702.914499999955297,4683164.494899999350309,2357.559277595523781
828,0,969,856,Arlington + Devonshire, ,42.270054000000002,-83.708871000000002, , , , , ,2,1,276601.065999999642372,4683313.353000000119209,2192.681121372704638
829,0,970,857,Arlington + Geddes, ,42.272779999999997,-83.710655000000003, , , , , ,2,1,276463.570199999958277,4683620.748800000175834,1927.067573596129705
830,0,971,858,Geddes + Huntington, ,42.273069999999997,-83.712823000000000, , , , , ,2,1,276285.797600000165403,4683658.648700000718236,1750.403089143027501
831,0,972,859,Geddes + Orchard Hills, ,42.273727999999998,-83.715006000000002, , , , , ,2,1,276108.093000000342727,4683737.457699999213219,1556.200631430562225
832,0,973,860,Geddes + Awixa, ,42.274453000000001,-83.717646999999999, , , , , ,2,1,275892.858699999749660,4683824.917400000616908,1324.722175871447007
833,0,974,861,Geddes + Highland, ,42.275013999999999,-83.720496999999995, , , , , ,2,1,275659.811200000345707,4683894.723200000822544,1086.656078742425279
834,0,975,862,Geddes + Ridgeway, ,42.275440000000003,-83.723095000000001, , , , , ,1,1,275447.070199999958277,4683948.880799999460578,877.114047518066286
835,0,976,863,Geddes + Geddes Hgts, ,42.275734000000000,-83.724892999999994, , , , , ,2,1,275299.837199999950826,4683986.274199999868870,735.566780118497832
836,0,977,864,Geddes + Linden Street, ,42.276350000000001,-83.727656999999994, , , , , ,2,1,275074.087600000202656,4684061.980399999767542,516.377893181471791
837,0,978,865,Geddes + Elm Street, ,42.277020999999998,-83.730025999999995, , , , , ,2,1,274881.112700000405312,4684142.756599999964237,335.142553709969206
838,0,980,869,Madison + First, ,42.274061000000003,-83.750878999999998, , , , , ,1,1,273150.813900000415742,4683869.433499999344349,1665.106568741291994
839,0,981,870,Madison + Fourth, ,42.274039000000002,-83.754915999999994, , , , , ,1,1,272817.801500000059605,4683877.759299999102950,1979.195633964973695
840,0,982,871,Madison + Sixth, ,42.273972999999998,-83.757517000000007, , , , , ,1,1,272603.058199999853969,4683877.376900000497699,2186.187355326486795
841,0,983,872,Seventh + Madison, ,42.273299000000002,-83.758459999999999, , , , , ,2,1,272522.862700000405312,4683805.051599999889731,2282.712964101001035
842,0,984,873,Seventh + Davis, ,42.270375999999999,-83.758353999999997, , , , , ,1,1,272521.085300000384450,4683480.179300000891089,2394.449785434646401
843,0,985,874,Seventh + Pauline, ,42.268265999999997,-83.758306000000005, , , , , ,2,1,272517.451200000010431,4683245.742900000885129,2500.396911262034791
844,0,986,875,Seventh + Franklin, ,42.265718000000000,-83.758217000000002, , , , , ,1,1,272515.623300000093877,4682962.558599999174476,2648.347829723679752
845,0,988,878,Seventh + Scio Church, ,42.256784000000003,-83.760841999999997, , , , , ,1,1,272266.935300000011921,4681977.489000000059605,3470.106258836868619
846,0,989,879,Scio Church + Greenview, ,42.256709000000001,-83.763756000000001, , , , , ,2,1,272026.280000000260770,4681976.959899999201298,3644.361565610719026
847,0,990,880,Scio Church + Mershon Dr., ,42.256616999999999,-83.766918000000004, , , , , ,2,1,271765.104399999603629,4681975.216000000014901,3842.347537953810843
848,0,991,881,Scio Church + Landmark Ct, ,42.256528000000003,-83.770221000000006, , , , , ,2,1,271492.307099999859929,4681974.193499999120831,4056.303140766229717
849,0,992,882,Scio Church + Covington, ,42.256438000000003,-83.773297999999997, , , , , ,2,1,271238.149000000208616,4681972.463099999353290,4262.141349209156033
