GEOID20,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOIDFQ20,NAME20,MTFCC20,UR20,UACE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,Shape_Length,Shape_Area
261614051001008,26,161,405100,1008,1000000US261614051001008,Block1008,G5040,U,02602,S,1257.000000000000000,0.000000000000000,+42.2467257,-083.7195609,1.000000000000000,3.000000000000000,0.001633988649042,0.000000137107350
261614053002020,26,161,405300,2020,1000000US261614053002020,Block2020,G5040,U,02602,S,2570.000000000000000,0.000000000000000,+42.2739029,-083.7059091,1.000000000000000,7.000000000000000,0.002294392890941,0.000000280466527
261614004003011,26,161,400400,3011,1000000US261614004003011,Block3011,G5040,U,02602,S,11390.000000000000000,0.000000000000000,+42.2621508,-083.7303422,17.000000000000000,41.000000000000000,0.004688260799176,0.000001242791101
261614004003012,26,161,400400,3012,1000000US261614004003012,Block3012,G5040,U,02602,S,16811.000000000000000,0.000000000000000,+42.2621795,-083.7286225,20.000000000000000,50.000000000000000,0.005881188843869,0.000001834242806
261614004003008,26,161,400400,3008,1000000US261614004003008,Block3008,G5040,U,02602,S,24341.000000000000000,0.000000000000000,+42.2614269,-083.7239053,24.000000000000000,73.000000000000000,0.007674990920188,0.000002655752414
261614046001001,26,161,404600,1001,1000000US261614046001001,Block1001,G5040,U,02602,S,26928.000000000000000,0.000000000000000,+42.2515755,-083.7252662,108.000000000000000,166.000000000000000,0.007654562481346,0.000002937579091
261614053006014,26,161,405300,6014,1000000US261614053006014,Block6014,G5040,U,02602,S,20758.000000000000000,0.000000000000000,+42.2627473,-083.7200544,13.000000000000000,32.000000000000000,0.006451317988336,0.000002264903637
261614052001007,26,161,405200,1007,1000000US261614052001007,Block1007,G5040,U,02602,S,22760.000000000000000,0.000000000000000,+42.2554262,-083.7134597,18.000000000000000,52.000000000000000,0.007466362938523,0.000002483055250
261614052004002,26,161,405200,4002,1000000US261614052004002,Block4002,G5040,U,02602,S,28749.000000000000000,0.000000000000000,+42.2552215,-083.7115556,27.000000000000000,68.000000000000000,0.007605052204256,0.000003136437485
261614036002005,26,161,403600,2005,1000000US261614036002005,Block2005,G5040,U,02602,S,7340.000000000000000,0.000000000000000,+42.3000528,-083.7224345,0.000000000000000,0.000000000000000,0.006158423102856,0.000000801339683
261619801011015,26,161,980101,1015,1000000US261619801011015,Block1015,G5040,U,02602,S,21888.000000000000000,0.000000000000000,+42.2729459,-083.7337989,76.000000000000000,156.000000000000000,0.006186401399923,0.000002388612329
261614003003009,26,161,400300,3009,1000000US261614003003009,Block3009,G5040,U,02602,S,82763.000000000000000,0.000000000000000,+42.2740533,-083.7280581,14.000000000000000,216.000000000000000,0.012909402869793,0.000009031991516
261614004003002,26,161,400400,3002,1000000US261614004003002,Block3002,G5040,U,02602,S,28448.000000000000000,0.000000000000000,+42.2640042,-083.7314032,32.000000000000000,70.000000000000000,0.008989725669912,0.000003104088915
